timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703110671108,886,Music-1,200,OK,Users 1-2,text,true,,684210,149,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,166,0,0
1703110670575,1421,HomePage,200,OK,Users 1-4,text,true,,854798,234,5,5,https://www.youtube.com/,125,0,0
1703110670575,125,HomePage-0,301,Moved Permanently,Users 1-4,text,true,,377,117,5,5,http://www.youtube.com/,125,0,0
1703110670700,1296,HomePage-1,200,OK,Users 1-4,text,true,,854421,117,5,5,https://www.youtube.com/,203,0,0
1703110670722,1544,HomePage,200,OK,Users 1-1,text,true,,892454,234,5,5,https://www.youtube.com/,174,0,0
1703110670722,174,HomePage-0,301,Moved Permanently,Users 1-1,text,true,,377,117,5,5,http://www.youtube.com/,174,0,0
1703110670897,1369,HomePage-1,200,OK,Users 1-1,text,true,,892077,117,5,5,https://www.youtube.com/,236,0,0
1703110671216,1830,HomePage,200,OK,Users 1-3,text,true,,858422,234,5,5,https://www.youtube.com/,176,0,0
1703110671216,176,HomePage-0,301,Moved Permanently,Users 1-3,text,true,,377,117,5,5,http://www.youtube.com/,176,0,0
1703110671392,1654,HomePage-1,200,OK,Users 1-3,text,true,,858045,117,5,5,https://www.youtube.com/,228,0,0
1703110671827,1391,Music,200,OK,Users 1-5,text,true,,686568,298,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,344,0,0
1703110671827,344,Music-0,301,Moved Permanently,Users 1-5,text,true,,409,149,5,5,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,344,0,0
1703110672171,1047,Music-1,200,OK,Users 1-5,text,true,,686159,149,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,147,0,0
1703110671997,1660,HomePage,200,OK,Users 1-2,text,true,,851930,234,5,5,https://www.youtube.com/,167,0,0
1703110671997,167,HomePage-0,301,Moved Permanently,Users 1-2,text,true,,377,117,5,5,http://www.youtube.com/,167,0,0
1703110672165,1492,HomePage-1,200,OK,Users 1-2,text,true,,851553,117,5,5,https://www.youtube.com/,210,0,0
1703110671999,1773,Trending,200,OK,Users 1-4,text,true,,1257609,380,5,5,https://www.youtube.com/feed/trending,122,0,0
1703110671999,122,Trending-0,301,Moved Permanently,Users 1-4,text,true,,385,125,5,5,http://www.youtube.com/trending,122,0,0
1703110672121,126,Trending-1,301,Moved Permanently,Users 1-4,text,true,,1676,125,5,5,https://www.youtube.com/trending,126,0,0
1703110672247,1525,Trending-2,200,OK,Users 1-4,text,true,,1255548,130,5,5,https://www.youtube.com/feed/trending,164,0,0
1703110672272,1516,Trending,200,OK,Users 1-1,text,true,,1254765,380,5,5,https://www.youtube.com/feed/trending,115,0,0
1703110672272,115,Trending-0,301,Moved Permanently,Users 1-1,text,true,,385,125,5,5,http://www.youtube.com/trending,115,0,0
